entity_id,domain,friendly_name,state,device_class,unit_of_measurement
sensor.q5_pro_last_clean_end,sensor,Last clean end,unavailable,timestamp,
sensor.q5_pro_cleaning_progress,sensor,Cleaning progress,unavailable,,%
sensor.q5_pro_current_room,sensor,Current room,unavailable,enum,
vacuum.q5_pro,vacuum,,unavailable,,
button.q5_pro_full_cleaning,button,Full Cleaning,unavailable,,
number.q5_pro_volume,number,Volume,unavailable,,%
switch.q5_pro_dock_child_lock,switch,Child lock,unavailable,,
switch.q5_pro_do_not_disturb,switch,Do not disturb,unavailable,,
time.q5_pro_do_not_disturb_begin,time,Do not disturb begin,unavailable,,
time.q5_pro_do_not_disturb_end,time,Do not disturb end,unavailable,,
automation.humidor_above_temp,automation,Humidor-above temp,unavailable,,
automation.humidor_below_temp,automation,Humidor - below temp,unavailable,,
sensor.govee_to_mqtt_version,sensor,Govee to MQTT Version,2025.04.13-17d43d72,,
button.govee_to_mqtt_purge_caches,button,Govee to MQTT Purge Caches,unknown,,
sensor.h6076_1341_status,sensor,Diningroom_light Status,Available,,
button.h6076_1341_request_platform_api_state,button,Diningroom_light Request Platform API State,unknown,,
sensor.h6076_194b_status,sensor,Livingroom_light Status,Available,,
button.h6076_194b_request_platform_api_state,button,Livingroom_light Request Platform API State,unknown,,
sensor.h705a_3d4b_status,sensor,Permanent Outdoor Lights Status,Available,,
button.h705a_3d4b_request_platform_api_state,button,Permanent Outdoor Lights Request Platform API State,unknown,,
sensor.h6076_7b5f_status,sensor,Sunroom_Light Status,Available,,
button.h6076_7b5f_request_platform_api_state,button,Sunroom_Light Request Platform API State,unknown,,
device_tracker.iot_device,device_tracker,iot_device,unavailable,,
device_tracker.b_hyve_xr_70d150,device_tracker,B-hyve_XR_70D150,unavailable,,
device_tracker.home,device_tracker,Home,unavailable,,
device_tracker.private,device_tracker,Private,unavailable,,
device_tracker.android_a1bda00cf175a012,device_tracker,android-a1bda00cf175a012,unavailable,,
device_tracker.google,device_tracker,Google,unavailable,,
device_tracker.private_2,device_tracker,Private,unavailable,,
device_tracker.purifier_garage,device_tracker,purifier - garage,unavailable,,
device_tracker.office,device_tracker,Office,unavailable,,
device_tracker.garage_keypad,device_tracker,garage_keypad,unavailable,,
device_tracker.ipad_2,device_tracker,iPad-2,unavailable,,
device_tracker.light_dining_room,device_tracker,light - dining room,unavailable,,
device_tracker.google_home_mini,device_tracker,Google-Home-Mini,unavailable,,
device_tracker.speaker_bedroom,device_tracker,speaker-bedroom,unavailable,,
device_tracker.purifier_bedroom,device_tracker,purifier - bedroom,unavailable,,
device_tracker.nintendo_co_ltd,device_tracker,"Nintendo Co.,Ltd",unavailable,,
device_tracker.google_home_mini_2,device_tracker,Google-Home-Mini,unavailable,,
device_tracker.bedroom_vizio,device_tracker,bedroom_vizio,unavailable,,
device_tracker.multi_use_wifi,device_tracker,multi-use-wifi,unavailable,,
device_tracker.private_3,device_tracker,Private,unavailable,,
device_tracker.homeassistant,device_tracker,homeassistant,unavailable,,
device_tracker.home_hub,device_tracker,home hub,unavailable,,
device_tracker.ps5_0aaf54,device_tracker,PS5-0AAF54,unavailable,,
device_tracker.office_laptop,device_tracker,office_laptop,unavailable,,
device_tracker.firetv_basement,device_tracker,firetv-basement,unavailable,,
device_tracker.camera_birdfeeder,device_tracker,camera - birdfeeder,unavailable,,
device_tracker.ari_galaxy_s24,device_tracker,Ari-Galaxy-S24,unavailable,,
device_tracker.purifier_guest_room,device_tracker,purifier - guest room,unavailable,,
device_tracker.dads_iphone_2,device_tracker,Dads-iPhone,unavailable,,
device_tracker.wdmycloud,device_tracker,WDMyCloud,unavailable,,
device_tracker.light_front_led,device_tracker,light - front led,unavailable,,
device_tracker.chromecast,device_tracker,Chromecast,unavailable,,
device_tracker.myq_f3c,device_tracker,MyQ-F3C,unavailable,,
device_tracker.epsonb9ca4f,device_tracker,EPSONB9CA4F,unavailable,,
device_tracker.firetv_livingroom,device_tracker,firetv_livingroom,unavailable,,
device_tracker.google_home_mini_3,device_tracker,Google-Home-Mini,unavailable,,
device_tracker.vacuum_roborock,device_tracker,vacuum - roborock,unavailable,,
device_tracker.ashs_desktop,device_tracker,ashs_desktop,unavailable,,
device_tracker.private_4,device_tracker,Private,unavailable,,
device_tracker.diego_s_s24,device_tracker,Diego-s-S24,unavailable,,
device_tracker.private_5,device_tracker,Private,unavailable,,
device_tracker.diegos_ipad_2,device_tracker,Diegos-iPad,unavailable,,
device_tracker.light_sunroom,device_tracker,light-sunroom,unavailable,,
device_tracker.viziocastdisplay,device_tracker,viziocastdisplay,unavailable,,
device_tracker.private_6,device_tracker,Private,unavailable,,
device_tracker.iot_device_2,device_tracker,iot_device,unavailable,,
device_tracker.sainlogic_302d19,device_tracker,Sainlogic-302D19,unavailable,,
device_tracker.diego_compy,device_tracker,Diego_Compy,unavailable,,
device_tracker.ring_187f88c2aa2a,device_tracker,Ring-187f88C2AA2A,unavailable,,
sensor.tp_link_router_total_guest_wifi_clients,sensor,Total guest wifi clients,unavailable,,
sensor.tp_link_router_total_main_wifi_clients,sensor,Total main wifi clients,unavailable,,
sensor.tp_link_router_total_wired_clients,sensor,Total wired clients,unavailable,,
sensor.tp_link_router_total_iot_clients,sensor,Total IoT clients,unavailable,,
sensor.tp_link_router_total_clients,sensor,Total clients,unavailable,,
sensor.tp_link_router_cpu_used,sensor,CPU used,unavailable,,%
sensor.tp_link_router_memory_used,sensor,Memory used,unavailable,,%
sensor.tp_link_router_connection_type,sensor,Connection Type,unavailable,,
switch.guest_wifi_2_4g,switch,Guest WIFI 2.4G,unavailable,,
