entity_id,domain,friendly_name,state,area_id,area_name,device_id,device_name,attr_key,attr_value
automation.huskers_pregame_t_20,automation,Huskers – Pregame (T-20),unavailable,,,,,id,huskers_pregame_20min
automation.huskers_pregame_t_20,automation,Huskers – Pregame (T-20),unavailable,,,,,restored,True
automation.huskers_pregame_t_20,automation,Huskers – Pregame (T-20),unavailable,,,,,supported_features,0
automation.huskers_pregame_theater_alternating,automation,Huskers: Pregame Theater Alternating,unavailable,,,,,friendly_name,Huskers: Pregame Theater Alternating
automation.huskers_pregame_theater_alternating,automation,Huskers: Pregame Theater Alternating,unavailable,,,,,id,huskers_pregame_theater_alternating
automation.huskers_pregame_theater_alternating,automation,Huskers: Pregame Theater Alternating,unavailable,,,,,restored,True
automation.huskers_pregame_theater_alternating,automation,Huskers: Pregame Theater Alternating,unavailable,,,,,supported_features,0
automation.huskers_pregame_window_t_20_t0,automation,Huskers: Pregame Window (T-20 → T0),unavailable,,,,,friendly_name,Huskers: Pregame Window (T-20 → T0)
automation.huskers_pregame_window_t_20_t0,automation,Huskers: Pregame Window (T-20 → T0),unavailable,,,,,id,huskers_pregame_window
automation.huskers_pregame_window_t_20_t0,automation,Huskers: Pregame Window (T-20 → T0),unavailable,,,,,restored,True
automation.huskers_pregame_window_t_20_t0,automation,Huskers: Pregame Window (T-20 → T0),unavailable,,,,,supported_features,0
automation.huskers_ranking_improvement_celebration,automation,Huskers: Ranking Improvement Celebration,unavailable,,,,,friendly_name,Huskers: Ranking Improvement Celebration
automation.huskers_ranking_improvement_celebration,automation,Huskers: Ranking Improvement Celebration,unavailable,,,,,id,huskers_ranking_improvement
automation.huskers_ranking_improvement_celebration,automation,Huskers: Ranking Improvement Celebration,unavailable,,,,,restored,True
automation.huskers_ranking_improvement_celebration,automation,Huskers: Ranking Improvement Celebration,unavailable,,,,,supported_features,0
automation.huskers_react_to_test_score,automation,Huskers – React to Test Score (logbook),unavailable,,,,,friendly_name,Huskers – React to Test Score (logbook)
automation.huskers_react_to_test_score,automation,Huskers – React to Test Score (logbook),unavailable,,,,,id,huskers_on_test_score
automation.huskers_react_to_test_score,automation,Huskers – React to Test Score (logbook),unavailable,,,,,restored,True
automation.huskers_react_to_test_score,automation,Huskers – React to Test Score (logbook),unavailable,,,,,supported_features,0
automation.huskers_react_to_test_score_2,automation,Huskers: React to Test Score,unavailable,,,,,friendly_name,Huskers: React to Test Score
automation.huskers_react_to_test_score_2,automation,Huskers: React to Test Score,unavailable,,,,,id,huskers_react_to_test_score
automation.huskers_react_to_test_score_2,automation,Huskers: React to Test Score,unavailable,,,,,restored,True
automation.huskers_react_to_test_score_2,automation,Huskers: React to Test Score,unavailable,,,,,supported_features,0
automation.huskers_season_milestone_tracker,automation,Huskers: Season Milestone Tracker,unavailable,,,,,friendly_name,Huskers: Season Milestone Tracker
automation.huskers_season_milestone_tracker,automation,Huskers: Season Milestone Tracker,unavailable,,,,,id,huskers_season_milestone_tracker
automation.huskers_season_milestone_tracker,automation,Huskers: Season Milestone Tracker,unavailable,,,,,restored,True
automation.huskers_season_milestone_tracker,automation,Huskers: Season Milestone Tracker,unavailable,,,,,supported_features,0
automation.huskers_set_led_gametime_on_kickoff,automation,Huskers: LED Gametime Mode at Kickoff,unavailable,,,,,friendly_name,Huskers: LED Gametime Mode at Kickoff
automation.huskers_set_led_gametime_on_kickoff,automation,Huskers: LED Gametime Mode at Kickoff,unavailable,,,,,id,huskers_set_led_gametime_on_kickoff
automation.huskers_set_led_gametime_on_kickoff,automation,Huskers: LED Gametime Mode at Kickoff,unavailable,,,,,restored,True
automation.huskers_set_led_gametime_on_kickoff,automation,Huskers: LED Gametime Mode at Kickoff,unavailable,,,,,supported_features,0
automation.huskers_showtime_at_t_20,automation,Huskers: Pregame Showtime (T-20 Minutes),unavailable,,,,,friendly_name,Huskers: Pregame Showtime (T-20 Minutes)
automation.huskers_showtime_at_t_20,automation,Huskers: Pregame Showtime (T-20 Minutes),unavailable,,,,,id,huskers_pregame_tminus20_showtime
automation.huskers_showtime_at_t_20,automation,Huskers: Pregame Showtime (T-20 Minutes),unavailable,,,,,restored,True
automation.huskers_showtime_at_t_20,automation,Huskers: Pregame Showtime (T-20 Minutes),unavailable,,,,,supported_features,0
automation.huskers_stop_shows_20m_after_final,automation,Huskers: Stop Shows 20m After Final,unavailable,,,,,friendly_name,Huskers: Stop Shows 20m After Final
automation.huskers_stop_shows_20m_after_final,automation,Huskers: Stop Shows 20m After Final,unavailable,,,,,id,huskers_stop_shows_20m_after_final
automation.huskers_stop_shows_20m_after_final,automation,Huskers: Stop Shows 20m After Final,unavailable,,,,,restored,True
automation.huskers_stop_shows_20m_after_final,automation,Huskers: Stop Shows 20m After Final,unavailable,,,,,supported_features,0
automation.huskers_system_health_check,automation,Huskers: System Health Check,unavailable,,,,,friendly_name,Huskers: System Health Check
automation.huskers_system_health_check,automation,Huskers: System Health Check,unavailable,,,,,id,huskers_system_health_check
automation.huskers_system_health_check,automation,Huskers: System Health Check,unavailable,,,,,restored,True
